seed,dp_enabled,clip_norm,noise_multiplier,test_acc,attack_auc,attack_ap,attack_acc,attack_f1,client_bytes_total,client_bytes_avg,aggregate_bytes
2,True,2.0,0.0025,0.654369712556702,0.7695134783715771,0.4368432561656245,0.8774064262037105,0.40244678131540323,74644240.0,7464424.0,7464424.0
2,True,2.0,0.005,0.6602657354017762,0.5907200342913257,0.16659167579456652,0.8307508372691789,0.15120785415478258,74644240.0,7464424.0,7464424.0
2,True,2.0,0.01,0.6405363440298626,0.5433373920563673,0.1291023646793183,0.8262348086459704,0.12596170625257347,74644240.0,7464424.0,7464424.0
2,True,2.0,0.02,0.4614525076000762,0.5208008263445959,0.12166626667204139,0.8213149848932435,0.10011537490257683,74644240.0,7464424.0,7464424.0
3,False,0.0,0.0,0.6609478423571782,0.9982290564080143,0.9824340236872077,0.9898276993216921,0.9481071581321256,74644240.0,7464424.0,7464424.0
3,True,0.25,0.0,0.6640526167365357,0.9987654079884896,0.9874655527202474,0.9916546423404629,0.9576962224175846,74644240.0,7464424.0,7464424.0
3,True,0.25,0.0025,0.6553620495594116,0.9979616727134932,0.9791815716282903,0.9880078257943371,0.9394438790354102,74644240.0,7464424.0,7464424.0
3,True,0.25,0.005,0.6583960976262403,0.9944513298341893,0.9741835784846133,0.9874036858359159,0.9365449014210624,74644240.0,7464424.0,7464424.0
3,True,0.25,0.01,0.636699525164096,0.9522458778015398,0.8601788474595903,0.9555412809254431,0.7794983137692615,74644240.0,7464424.0,7464424.0
3,True,0.25,0.02,0.5690798677586921,0.7722311087788979,0.48150859551928493,0.8913732808065328,0.4540342894707221,74644240.0,7464424.0,7464424.0
3,True,0.5,0.0,0.6599083909731854,0.9985095059989769,0.9838958304369456,0.991082385293559,0.9537510373054167,74644240.0,7464424.0,7464424.0
3,True,0.5,0.0025,0.6580187992573787,0.9949780936631321,0.9710861296489479,0.9880106887720388,0.939308596262556,74644240.0,7464424.0,7464424.0
3,True,0.5,0.005,0.6554050049804732,0.9546579436898799,0.879419909665627,0.9619853542363609,0.811614532615731,74644240.0,7464424.0,7464424.0
3,True,0.5,0.01,0.6240880943863895,0.7757318397502526,0.4712389896405373,0.8819871886251185,0.41185672151416686,74644240.0,7464424.0,7464424.0
3,True,0.5,0.02,0.5930950468389845,0.6041865889205771,0.15903223250245813,0.8345898926416149,0.17223733225431018,74644240.0,7464424.0,7464424.0
3,True,1.0,0.0,0.6557667670323035,0.997136564208016,0.9694900251638323,0.9843694752932765,0.9198599076962205,74644240.0,7464424.0,7464424.0
3,True,1.0,0.0025,0.6530478478087152,0.9395860136591642,0.8463665406587632,0.9570196027975337,0.790800997839348,74644240.0,7464424.0,7464424.0
3,True,1.0,0.005,0.6527654270098164,0.8405888572980285,0.5551940472349047,0.9009955258169164,0.5072235097532211,74644240.0,7464424.0,7464424.0
3,True,1.0,0.01,0.6366425841858625,0.586926969692189,0.16263826752621297,0.831918900370278,0.15977896775609748,74644240.0,7464424.0,7464424.0
3,True,1.0,0.02,0.5642182750138643,0.558421487203032,0.13653989910146966,0.8254135407374038,0.1262859636748581,74644240.0,7464424.0,7464424.0
3,True,2.0,0.0,0.6436737623342279,0.9976866977960404,0.9820534788447329,0.9904052239623592,0.9523619407675135,74644240.0,7464424.0,7464424.0
3,True,2.0,0.0025,0.6565368259350818,0.7816657907441851,0.46018179065983117,0.8874822997373741,0.4379610660815095,74644240.0,7464424.0,7464424.0
3,True,2.0,0.005,0.6478934730536091,0.6160287116063689,0.19878584592293366,0.838814117265764,0.19317110898455148,74644240.0,7464424.0,7464424.0
3,True,2.0,0.01,0.5983556445776468,0.5283893183385635,0.12533487602825516,0.8271842657132507,0.1350566745388477,74644240.0,7464424.0,7464424.0
3,True,2.0,0.02,0.5491535979812124,0.4909701387650469,0.10947920340704183,0.8176512329456644,0.08658355060382425,74644240.0,7464424.0,7464424.0
