dataset,train_epochs,noise_multiplier,test_acc,mse,cosine_sim,feat_corr
PubMed,30,0.005,0.8442 +- 0.0020,0.0556 +- 0.0026,0.0038 +- 0.0019,0.0184 +- 0.0005
PubMed,30,0.01,0.8391 +- 0.0053,0.0578 +- 0.0020,0.0059 +- 0.0019,0.0196 +- 0.0006
PubMed,30,0.02,0.8354 +- 0.0010,0.0593 +- 0.0046,0.0056 +- 0.0021,0.0188 +- 0.0006
PubMed,30,0.05,0.7952 +- 0.0048,0.0867 +- 0.0016,0.0042 +- 0.0005,0.0181 +- 0.0009
PubMed,100,0.0,0.8189 +- 0.0082,0.0378 +- 0.0011,-0.0015 +- 0.0021,0.0175 +- 0.0009
PubMed,100,0.005,0.8415 +- 0.0035,0.0547 +- 0.0008,0.0050 +- 0.0024,0.0199 +- 0.0007
PubMed,100,0.01,0.8432 +- 0.0038,0.0619 +- 0.0035,0.0058 +- 0.0002,0.0185 +- 0.0006
PubMed,100,0.02,0.8408 +- 0.0007,0.0724 +- 0.0051,0.0063 +- 0.0004,0.0195 +- 0.0005
PubMed,100,0.05,0.8241 +- 0.0044,0.0799 +- 0.0088,0.0033 +- 0.0011,0.0183 +- 0.0014
chameleon,10,0.0,0.2278 +- 0.0036,0.0439 +- 0.0004,0.0017 +- 0.0022,0.0523 +- 0.0014
chameleon,10,0.005,0.2120 +- 0.0099,0.0451 +- 0.0024,0.0021 +- 0.0012,0.0523 +- 0.0031
chameleon,10,0.01,0.2130 +- 0.0157,0.0518 +- 0.0004,0.0004 +- 0.0017,0.0516 +- 0.0019
chameleon,10,0.02,0.2074 +- 0.0069,0.0572 +- 0.0009,0.0048 +- 0.0018,0.0521 +- 0.0022
chameleon,10,0.05,0.2039 +- 0.0110,0.0650 +- 0.0018,0.0010 +- 0.0009,0.0506 +- 0.0027
chameleon,30,0.0,0.2598 +- 0.0009,0.0693 +- 0.0173,0.0111 +- 0.0041,0.0537 +- 0.0034
chameleon,30,0.005,0.2261 +- 0.0056,0.0454 +- 0.0009,0.0048 +- 0.0020,0.0547 +- 0.0022
chameleon,30,0.01,0.2216 +- 0.0008,0.0540 +- 0.0004,0.0011 +- 0.0026,0.0519 +- 0.0027
chameleon,30,0.02,0.2165 +- 0.0079,0.0589 +- 0.0007,0.0013 +- 0.0016,0.0524 +- 0.0027
chameleon,30,0.05,0.2108 +- 0.0037,0.0659 +- 0.0008,0.0010 +- 0.0018,0.0509 +- 0.0032
chameleon,100,0.0,0.3417 +- 0.0160,0.0623 +- 0.0173,0.0098 +- 0.0030,0.0528 +- 0.0053
chameleon,100,0.005,0.2365 +- 0.0056,0.0565 +- 0.0105,0.0056 +- 0.0018,0.0538 +- 0.0032
chameleon,100,0.01,0.2333 +- 0.0126,0.0601 +- 0.0009,0.0014 +- 0.0011,0.0516 +- 0.0021
chameleon,100,0.02,0.2295 +- 0.0013,0.0688 +- 0.0036,0.0019 +- 0.0016,0.0515 +- 0.0032
chameleon,100,0.05,0.2190 +- 0.0086,0.0728 +- 0.0074,-0.0018 +- 0.0022,0.0512 +- 0.0008
